Data,Quantidade(mm)
29/03/44,0
30/03/44,0
31/03/44,0
01/04/44,0
02/04/44,39
03/04/44,0
04/04/44,0
05/04/44,0
06/04/44,0
07/04/44,0
08/04/44,0
09/04/44,0
10/04/44,0
11/04/44,0
12/04/44,0
13/04/44,0
14/04/44,31
15/04/44,38.2
16/04/44,0
17/04/44,37
18/04/44,0
19/04/44,0.9
20/04/44,15.7
21/04/44,0
22/04/44,0
23/04/44,0
24/04/44,0
25/04/44,0
26/04/44,0
27/04/44,0
28/04/44,0
29/04/44,0
30/04/44,0
01/05/44,0
02/05/44,0
03/05/44,0
04/05/44,0
05/05/44,0
06/05/44,0
07/05/44,0
08/05/44,0
09/05/44,0
10/05/44,0
11/05/44,0
12/05/44,0
13/05/44,0
14/05/44,0
15/05/44,0
16/05/44,0
17/05/44,0
18/05/44,0
19/05/44,0
20/05/44,0
21/05/44,0
22/05/44,0
23/05/44,0
24/05/44,0
25/05/44,0
26/05/44,0
27/05/44,0
28/05/44,0
29/05/44,0
30/05/44,0
31/05/44,0
01/06/44,0
02/06/44,0
03/06/44,0
04/06/44,0
05/06/44,0
06/06/44,0
07/06/44,0
08/06/44,0
09/06/44,0
10/06/44,0
11/06/44,0
12/06/44,0
13/06/44,0
14/06/44,0
15/06/44,0
16/06/44,0
17/06/44,0
18/06/44,0
19/06/44,0
20/06/44,0
21/06/44,0
22/06/44,0
23/06/44,0
24/06/44,0
25/06/44,0
26/06/44,0
27/06/44,0
28/06/44,0
29/06/44,0
30/06/44,0
01/07/44,0
02/07/44,0
03/07/44,0
04/07/44,0
05/07/44,0
06/07/44,0
07/07/44,0
08/07/44,0
09/07/44,0
10/07/44,0
11/07/44,0
12/07/44,0
13/07/44,0
14/07/44,0
15/07/44,0
16/07/44,0
17/07/44,0
18/07/44,0
19/07/44,0
20/07/44,0
21/07/44,0
22/07/44,0
23/07/44,0
24/07/44,0
25/07/44,0
26/07/44,0
27/07/44,0
28/07/44,0
29/07/44,0
30/07/44,0
31/07/44,0
01/08/44,0
02/08/44,0
03/08/44,0
04/08/44,0
05/08/44,0
06/08/44,0
07/08/44,0
08/08/44,0
09/08/44,0
10/08/44,0
11/08/44,0
12/08/44,0
13/08/44,0
14/08/44,0
15/08/44,0
16/08/44,0
17/08/44,0
18/08/44,0
19/08/44,0
20/08/44,0
21/08/44,0
22/08/44,0
23/08/44,0
24/08/44,0
25/08/44,0
26/08/44,0
27/08/44,0
28/08/44,0
29/08/44,0
30/08/44,0
31/08/44,0
01/09/44,0
02/09/44,0
03/09/44,0
04/09/44,0.2
05/09/44,0
06/09/44,0
07/09/44,0
08/09/44,0
09/09/44,0
10/09/44,0
11/09/44,0
12/09/44,0
13/09/44,0
14/09/44,0
15/09/44,0
16/09/44,0
17/09/44,0
18/09/44,0
19/09/44,0
20/09/44,0
21/09/44,0
22/09/44,0
23/09/44,0
24/09/44,0
25/09/44,0
26/09/44,0
27/09/44,0
28/09/44,0
29/09/44,0
30/09/44,0
01/10/44,0
02/10/44,0
03/10/44,0
04/10/44,0
05/10/44,0
06/10/44,0
07/10/44,0
08/10/44,0
09/10/44,0
10/10/44,0
11/10/44,0
12/10/44,0
13/10/44,10.5
14/10/44,18.7
15/10/44,0
16/10/44,0
17/10/44,0
18/10/44,0
19/10/44,0
20/10/44,20.6
21/10/44,22.4
22/10/44,0
23/10/44,0
24/10/44,0
25/10/44,0
26/10/44,0
27/10/44,0
28/10/44,5.3
29/10/44,11.4
30/10/44,14.5
31/10/44,0
01/11/44,0
02/11/44,0
03/11/44,8.1
04/11/44,0.8
05/11/44,0
06/11/44,28
07/11/44,0
08/11/44,8.2
09/11/44,0
10/11/44,0
11/11/44,0
12/11/44,0
13/11/44,14.4
14/11/44,0.4
15/11/44,5.2
16/11/44,16
17/11/44,0
18/11/44,0
19/11/44,0
20/11/44,32
21/11/44,15.3
22/11/44,0
23/11/44,8.7
24/11/44,23
25/11/44,5.2
26/11/44,0
27/11/44,0
28/11/44,0
29/11/44,0
30/11/44,0
01/12/44,19.8
02/12/44,0
03/12/44,0.9
04/12/44,0
05/12/44,0
06/12/44,0
07/12/44,0
08/12/44,0
09/12/44,0
10/12/44,9.5
11/12/44,0
12/12/44,0
13/12/44,0
14/12/44,0
15/12/44,0
16/12/44,0
17/12/44,0
18/12/44,0
19/12/44,0
20/12/44,0
21/12/44,40
22/12/44,0
23/12/44,0.1
24/12/44,19
25/12/44,23
26/12/44,0
27/12/44,0
28/12/44,0.4
29/12/44,0
30/12/44,0
31/12/44,0
01/01/45,0
02/01/45,0
03/01/45,0
04/01/45,40.4
05/01/45,28.4
06/01/45,9.8
07/01/45,15.4
08/01/45,9.9
09/01/45,0
10/01/45,0
11/01/45,0
12/01/45,0
13/01/45,0
14/01/45,0
15/01/45,0
16/01/45,32.4
17/01/45,75
18/01/45,55.7
19/01/45,0
20/01/45,0
21/01/45,0.9
22/01/45,16
23/01/45,5.5
24/01/45,0
25/01/45,0
26/01/45,0
27/01/45,0.5
28/01/45,0
29/01/45,70
30/01/45,6.5
31/01/45,39.2
01/02/45,100
02/02/45,38
03/02/45,15.1
04/02/45,21.1
05/02/45,0
06/02/45,0
07/02/45,19.3
08/02/45,27
09/02/45,0.7
10/02/45,0
11/02/45,0
12/02/45,36.3
13/02/45,0
14/02/45,0
15/02/45,31
16/02/45,0
17/02/45,0
18/02/45,0
19/02/45,0
20/02/45,0
21/02/45,24
22/02/45,11
23/02/45,0
24/02/45,0
25/02/45,0
26/02/45,0
27/02/45,0
28/02/45,0
01/03/45,2.5
02/03/45,0
03/03/45,0
04/03/45,15.5
05/03/45,0
06/03/45,0
07/03/45,0
08/03/45,0
09/03/45,0
10/03/45,9.2
11/03/45,0
12/03/45,0
13/03/45,0
14/03/45,0
