Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  09/1943;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.6;  8.0;  3.4;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  2.0;  1.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;8.0;15.0
  10/1943;  0.0;  0.0;  0.0;  7.2; 24.3;  0.0;  0.0;  0.0;  0.0; 11.5; 37.7;  0.2;  0.1;  0.5;  3.1;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 57.4; 11.4;  0.0; 10.4;  0.0;  9.4;0.0;0.0;0.0;57.4;173.2
  11/1943; 11.6;  0.5;  0.6; 35.6;  0.0;  7.5;  0.5;  0.0;  9.4;  0.2;  5.4;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 32.7;  0.9;  0.0;  0.0;  0.0;  0.0; 17.4;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;35.6;122.3
  12/1943; 25.5;  6.3;  0.0; 30.0;  0.0;  0.0;  0.0; 15.0;  0.0;  0.0;  0.0; 33.0;  0.0; 10.3;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 15.0; 22.4;  7.2;  0.0; 19.5; 31.1;  0.0;  0.0;0.0;0.0;0.0;33.0;215.3
  01/1944;  0.0;  0.0;  9.0;  0.0; 19.0;  0.0;  8.3;  0.0;  0.0;  0.0;  0.0;  5.0;  0.0;  4.0;  0.0;  0.0;  0.0; 26.5;  0.0;  0.0;  0.0;  0.0;  0.0; 43.0; 30.7; 49.0;  0.0;  0.0;0.0;0.0;0.0;49.0;194.5
  02/1944;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 36.7;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.2; 15.6; 26.5;  0.0; 16.7; 15.6;  0.0; 15.8;  5.6; 33.5; 28.8;  0.0;  0.0;  0.0;0.0;---;---;36.7;195.0
  03/1944; 11.5;  0.0; 28.8;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 37.8;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.9;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;37.8;79.0
  04/1944;  0.0; 39.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 31.0; 38.2;  0.0; 37.0;  0.0;  0.9; 15.7;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;39.0;161.8
  05/1944;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  06/1944;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;0.0;0.0
  07/1944;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  08/1944;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  09/1944;  0.0;  0.0;  0.0;  0.2;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;0.2;0.2
  10/1944;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 10.5; 18.7;  0.0;  0.0;  0.0;  0.0;  0.0; 20.6; 22.4;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  5.3;11.4;14.5;0.0;22.4;103.4
  11/1944;  0.0;  0.0;  8.1;  0.8;  0.0; 28.0;  0.0;  8.2;  0.0;  0.0;  0.0;  0.0; 14.4;  0.4;  5.2; 16.0;  0.0;  0.0;  0.0; 32.0; 15.3;  0.0;  8.7; 23.0;  5.2;  0.0;  0.0;  0.0;0.0;0.0;---;32.0;165.3
  12/1944; 19.8;  0.0;  0.9;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  9.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 40.0;  0.0;  0.1; 19.0; 23.0;  0.0;  0.0;  0.4;0.0;0.0;0.0;40.0;112.7
  01/1945;  0.0;  0.0;  0.0; 40.4; 28.4;  9.8; 15.4;  9.9;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 32.4; 75.0; 55.7;  0.0;  0.0;  0.9; 16.0;  5.5;  0.0;  0.0;  0.0;  0.5;  0.0;70.0;6.5;39.2;75.0;405.6
  02/1945;100.0; 38.0; 15.1; 21.1;  0.0;  0.0; 19.3; 27.0;  0.7;  0.0;  0.0; 36.3;  0.0;  0.0; 31.0;  0.0;  0.0;  0.0;  0.0;  0.0; 24.0; 11.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;---;---;---;100.0;323.5
  03/1945;  2.5;  0.0;  0.0; 15.5;  0.0;  0.0;  0.0;  0.0;  0.0;  9.2;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 12.0; 27.6; 21.5; 26.0;  0.8; 30.0; 23.5; 33.0;  0.0;0.0;0.0;0.0;33.0;201.6
  04/1945;  8.5;  0.0;  0.0;  0.0; 12.6; 17.0; 18.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 49.6;  0.0; 36.0;  0.0;  0.9;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;9.2;---;49.6;151.8
  05/1945;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.5;0.5
